星期	序号	profile_id	病毒中文主题	病毒英文主题	目标实体层级	主题检索范围	核心身份锚点_可进入OR	成员或亚型身份锚点_可进入OR	疾病锚点	上下文词_只能AND	禁止单独使用词	排除范围_NOT候选	PubMed高精度查询骨架	新闻高精度查询骨架	建议权威网站
周四	11	chikungunya_virus	基孔肯雅病毒	Chikungunya virus	具体病毒及疾病	聚焦 chikungunya virus/chikungunya；不使用 Alphavirus 或 Togaviridae 单独检索。	"chikungunya virus"; chikungunya; "chikungunya fever"	"ECSA lineage" AND chikungunya; "Asian lineage" AND chikungunya; "West African lineage" AND chikungunya; "Indian Ocean lineage" AND chikungunya	"chikungunya fever"; "chikungunya infection"; "chronic chikungunya arthritis"	Aedes aegypti; Aedes albopictus; mosquito-borne; acute arthralgia; chronic arthropathy; E1-A226V; vector competence; outbreak	CHIKV; ECSA; E1; E2; nsP1; nsP2; nsP3; nsP4; Alphavirus; Togaviridae; arthralgia	O’nyong-nyong virus; Mayaro virus; Ross River virus; Sindbis virus（仅在非比较性主题中排除）	(("chikungunya virus"[Title/Abstract] OR chikungunya[Title/Abstract] OR ("CHIKV"[Title/Abstract] AND virus[Title/Abstract])) AND {{DATE_FILTER}})	("chikungunya virus" OR chikungunya) AND (outbreak OR cases OR transmission OR surveillance OR vaccine)	ICTV Togaviridae=https://ictv.global/report/chapter/togaviridae/togaviridae | ViralZone Alphavirus=https://viralzone.expasy.org/625 | WHO Chikungunya=https://www.who.int/news-room/fact-sheets/detail/chikungunya | CDC About Chikungunya=https://www.cdc.gov/chikungunya/about/index.html
周四	12	avian_influenza	禽流感病毒	Avian influenza A viruses	人兽共患禽源甲型流感类群	聚焦 H5/H7/H9 等具有人兽共患和公共卫生意义的 avian influenza A viruses；不把普通季节性人流感作为主体。	"avian influenza"; "avian influenza A virus"; "avian influenza virus"; "bird flu"; "zoonotic influenza"	"H5N1"; "H5N6"; "H5N8"; "H5Nx"; "H7N9"; "H7N4"; "H9N2"; "highly pathogenic avian influenza"; "low pathogenic avian influenza"	"human infection with avian influenza"; "zoonotic avian influenza"	HPAI; LPAI; poultry outbreak; wild bird surveillance; spillover; mammalian adaptation; reassortment; PB2-E627K; PB2-D701N	AIV; HPAI; LPAI; H5; H7; H9; HA; NA; PB2; PB1; PA; NP; M1; M2; NS1; bird flu（最好与 avian influenza 组合）	seasonal influenza; swine influenza; equine influenza; canine influenza（严格禽流感模式）	(("avian influenza"[Title/Abstract] OR "avian influenza A virus"[Title/Abstract] OR "H5N1"[Title/Abstract] OR "H5N6"[Title/Abstract] OR "H7N9"[Title/Abstract] OR "H9N2"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("seasonal influenza"[Title/Abstract])	("avian influenza" OR "bird flu" OR "H5N1" OR "H5N6" OR "H7N9" OR "H9N2") AND (outbreak OR human case OR poultry OR wild bird OR spillover)	WHO Avian and Other Zoonotic Influenza=https://www.who.int/news-room/fact-sheets/detail/influenza-%28avian-and-other-zoonotic%29 | CDC About Bird Flu=https://www.cdc.gov/bird-flu/about/index.html | ViralZone Orthomyxoviridae=https://viralzone.expasy.org/223 | ViralZone H5N1=https://viralzone.expasy.org/130?outline=all_by_species
周五	13	hantavirus	汉坦病毒	Hantaviruses	人致病正汉坦病毒类群	聚焦与 HFRS/HPS/HCPS 相关的 orthohantaviruses 和主要人类病原；非哺乳动物 hantavirus 默认排除。	"hantavirus"; "orthohantavirus"; "hantavirus infection"	"Hantaan virus"; "Seoul virus"; "Puumala virus"; "Dobrava-Belgrade virus"; "Sin Nombre virus"; "Andes virus"	"hemorrhagic fever with renal syndrome"; "hantavirus pulmonary syndrome"; "hantavirus cardiopulmonary syndrome"	HFRS; HPS; HCPS; rodent reservoir; aerosolized rodent excreta; capillary leak; thrombocytopenia; renal syndrome; S segment; M segment; L segment	HTNV; SEOV; PUUV; DOBV; SNV; ANDV; HFRS; HPS; HCPS; N protein; Gn; Gc; RdRp; S segment; M segment; L segment	fish hantavirus; reptile hantavirus; insect hantavirus; non-mammalian hantavirus（人类疾病模式）	(("hantavirus"[Title/Abstract] OR "orthohantavirus"[Title/Abstract] OR "Hantaan virus"[Title/Abstract] OR "Seoul virus"[Title/Abstract] OR "Puumala virus"[Title/Abstract] OR "Sin Nombre virus"[Title/Abstract] OR "Andes virus"[Title/Abstract]) AND {{DATE_FILTER}})	("hantavirus" OR "Hantaan virus" OR "Seoul virus" OR "Puumala virus" OR "Sin Nombre virus" OR "Andes virus") AND (outbreak OR case OR infection OR rodent OR surveillance)	ICTV Hantaviridae=https://ictv.global/report/chapter/hantaviridae/hantaviridae | ICTV Orthohantavirus=https://ictv.global/report/chapter/hantaviridae/hantaviridae/mammantavirinae/orthohantavirus | ViralZone Orthohantavirus=https://viralzone.expasy.org/213 | CDC About Hantavirus=https://www.cdc.gov/hantavirus/about/index.html
周五	14	sftsv	发热伴血小板减少综合征病毒	Severe fever with thrombocytopenia syndrome virus	具体病毒及疾病	聚焦 SFTSV/Bandavirus dabieense 及 SFTS；不使用 Bandavirus、SFTS、DBV 单独检索。	"severe fever with thrombocytopenia syndrome virus"; "SFTS virus"; "Bandavirus dabieense"; "Dabie bandavirus"	"SFTSV" AND (virus OR infection); "DBV" AND (bandavirus OR virus)	"severe fever with thrombocytopenia syndrome"; "SFTS disease"	Haemaphysalis longicornis; Asian longhorned tick; tick-borne; thrombocytopenia; leukopenia; person-to-person transmission; nosocomial transmission; NSs; Gn; Gc	SFTSV; SFTS; DBV; Bandavirus; L segment; M segment; S segment; N protein; NSs; Gn; Gc; thrombocytopenia; leukopenia	Heartland virus; Guertu virus; Bhanja virus; Dabie Mountains geography-only results	(("severe fever with thrombocytopenia syndrome virus"[Title/Abstract] OR "SFTS virus"[Title/Abstract] OR "Bandavirus dabieense"[Title/Abstract] OR "Dabie bandavirus"[Title/Abstract] OR ("SFTSV"[Title/Abstract] AND (virus[Title/Abstract] OR infection[Title/Abstract]))) AND {{DATE_FILTER}})	("severe fever with thrombocytopenia syndrome virus" OR "SFTS virus" OR "Bandavirus dabieense" OR ("SFTSV" AND virus)) AND (case OR outbreak OR tick OR transmission OR surveillance)	ICTV Phenuiviridae=https://ictv.global/report/chapter/phenuiviridae/phenuiviridae | NCBI Taxonomy Bandavirus dabieense=https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2509281&mode=Info | Hong Kong CHP SFTS=https://www.chp.gov.hk/en/healthtopics/content/24/109322.html | China CDC SFTS=https://en.chinacdc.cn/in_focus/202405/t20240529_282916.html
周五	15	mpox_virus	猴痘病毒（Mpox病毒）	Mpox virus	具体病毒及疾病	聚焦 mpox virus/monkeypox virus 及 mpox；其他 orthopoxviruses 仅在比较或鉴别诊断时纳入。	"mpox virus"; "monkeypox virus"; mpox; monkeypox	"MPXV" AND (virus OR mpox); "clade I" AND (mpox OR monkeypox); "clade Ib" AND (mpox OR monkeypox); "clade II" AND (mpox OR monkeypox)	"mpox"; "monkeypox"	zoonotic transmission; close contact; sexual transmission; lesion swab; genomic surveillance; tecovirimat; MVA-BN; JYNNEOS; clade I; clade Ib; clade II	MPXV; clade I; clade Ia; clade Ib; clade II; PCR; rash; lymphadenopathy; Orthopoxvirus; Poxviridae	variola virus; smallpox; cowpox virus; vaccinia virus; molluscum contagiosum virus（严格 mpox 模式）	(("mpox virus"[Title/Abstract] OR "monkeypox virus"[Title/Abstract] OR mpox[Title/Abstract] OR monkeypox[Title/Abstract]) AND {{DATE_FILTER}})	("mpox virus" OR "monkeypox virus" OR mpox OR monkeypox) AND (outbreak OR cases OR transmission OR clade OR vaccine)	ViralZone Orthopoxvirus=https://viralzone.expasy.org/149 | ViralZone Poxvirus Resource=https://viralzone.expasy.org/9957 | WHO Mpox=https://www.who.int/news-room/fact-sheets/detail/mpox | CDC About Mpox=https://www.cdc.gov/monkeypox/about/index.html
周六	16	nipah_virus	尼帕病毒	Nipah virus	具体病毒及疾病	聚焦 Nipah virus/Nipah virus infection；不把其他 Henipavirus 默认纳入。	"Nipah virus"; "Nipah virus infection"; "Nipah virus disease"	"NiV-Malaysia"; "NiV-Bangladesh"; ("NiV" AND "Nipah")	"Nipah virus encephalitis"; "Nipah virus infection"	Pteropus; fruit bat; flying fox; pig amplification host; raw date palm sap; person-to-person transmission; nosocomial transmission; ephrin-B2; ephrin-B3	NiV; NiV-M; NiV-B; Henipavirus; G protein; F protein; N protein; P protein; V protein; W protein; C protein; encephalitis	Hendra virus; Cedar virus; Ghanaian bat henipavirus; Mojiang virus（严格 Nipah 模式）	(("Nipah virus"[Title/Abstract] OR "Nipah virus infection"[Title/Abstract] OR ("NiV"[Title/Abstract] AND Nipah[Title/Abstract])) AND {{DATE_FILTER}})	("Nipah virus" OR "Nipah virus infection") AND (outbreak OR case OR transmission OR encephalitis OR surveillance)	ICTV Henipavirus=https://ictv.global/report/chapter/paramyxoviridae/paramyxoviridae/henipavirus | WHO Nipah Virus=https://www.who.int/news-room/fact-sheets/detail/nipah-virus | CDC About Nipah Virus=https://www.cdc.gov/nipah-virus/about/index.html | CDC Clinical Overview=https://www.cdc.gov/nipah-virus/hcp/clinical-overview/index.html
周六	17	arenaviridae	沙粒病毒科	Arenaviridae	人类相关哺乳沙粒病毒白名单主题	公共卫生检索仅聚焦 Mammarenavirus 中已知或重点关注的人类病原。不得用 Arenaviridae 单独作为唯一身份词，不默认纳入 Reptarenavirus、Hartmanivirus、Antennavirus。	"mammarenavirus"; "human arenavirus"; "arenavirus infection"; "arenaviral hemorrhagic fever"	"Lassa virus"; "lymphocytic choriomeningitis virus"; "Junín virus"; "Junin virus"; "Machupo virus"; "Guanarito virus"; "Sabiá virus"; "Sabia virus"; "Chapare virus"; "Lujo virus"	"Lassa fever"; "lymphocytic choriomeningitis"; "Argentine hemorrhagic fever"; "Bolivian hemorrhagic fever"; "Venezuelan hemorrhagic fever"; "Brazilian hemorrhagic fever"; "Chapare hemorrhagic fever"; "Lujo hemorrhagic fever"	Old World arenavirus; New World arenavirus; rodent reservoir; rodent-borne; L segment; S segment; glycoprotein precursor; nucleoprotein; matrix protein Z; viral hemorrhagic fever	Arenaviridae; arenavirus; LASV; LCMV; JUNV; MACV; GTOV; SABV; CHAPV; LUJV; GPC; NP; Z protein; L polymerase; hemorrhagic fever	Reptarenavirus; Hartmanivirus; Antennavirus; snake arenavirus; inclusion body disease; fish arenavirus; plant virus; Tacaribe virus（除非比较研究）	(("Lassa virus"[Title/Abstract] OR "lymphocytic choriomeningitis virus"[Title/Abstract] OR "Junín virus"[Title/Abstract] OR "Junin virus"[Title/Abstract] OR "Machupo virus"[Title/Abstract] OR "Guanarito virus"[Title/Abstract] OR "Sabiá virus"[Title/Abstract] OR "Sabia virus"[Title/Abstract] OR "Chapare virus"[Title/Abstract] OR "Lujo virus"[Title/Abstract] OR ("mammarenavirus"[Title/Abstract] AND (human[Title/Abstract] OR hemorrhagic[Title/Abstract]))) AND {{DATE_FILTER}}) NOT (Reptarenavirus[Title/Abstract] OR Hartmanivirus[Title/Abstract] OR Antennavirus[Title/Abstract])	("Lassa virus" OR "Lassa fever" OR "lymphocytic choriomeningitis virus" OR "Junin virus" OR "Machupo virus" OR "Guanarito virus" OR "Chapare virus" OR "Lujo virus") AND (outbreak OR case OR infection OR transmission OR surveillance)	ICTV Arenaviridae=https://ictv.global/report/chapter/arenaviridae/arenaviridae | ICTV Mammarenavirus=https://ictv.global/report/chapter/arenaviridae/arenaviridae/mammarenavirus | ViralZone Arenaviridae=https://viralzone.expasy.org/501?outline=all_by_species | WHO Lassa Fever=https://www.who.int/news-room/fact-sheets/detail/lassa-fever
周六	18	ebola_viruses	埃博拉病毒类群	Ebola viruses	埃博拉病毒属相关人类病原类群	聚焦导致或可能导致人类 Ebola disease 的具体 ebolaviruses；各病毒名称保持独立，不将全部结果改写成 Ebola virus。	"Ebola virus"; "Ebola virus disease"; "Ebola disease"; ebolavirus	"Sudan virus"; "Bundibugyo virus"; "Taï Forest virus"; "Tai Forest virus"; "Reston virus"; "Bombali virus"; "Zaire ebolavirus"	"Ebola virus disease"; "Ebola disease"; "Sudan virus disease"	viral hemorrhagic fever; body fluids; healthcare-associated transmission; safe burial; contact tracing; rVSV-ZEBOV; monoclonal antibody; genomic surveillance	EBOV; EVD; SUDV; BDBV; TAFV; RESTV; BOMV; GP; NP; VP24; VP30; VP35; VP40; L polymerase; Filoviridae	Marburg virus; Ravn virus; cuevavirus（严格 ebolavirus 模式）	(("Ebola virus"[Title/Abstract] OR "Ebola virus disease"[Title/Abstract] OR "Sudan virus"[Title/Abstract] OR "Bundibugyo virus"[Title/Abstract] OR "Taï Forest virus"[Title/Abstract] OR "Reston virus"[Title/Abstract] OR "Bombali virus"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("Marburg virus"[Title/Abstract])	("Ebola virus" OR "Ebola virus disease" OR "Sudan virus" OR "Bundibugyo virus") AND (outbreak OR case OR transmission OR vaccine OR treatment)	ViralZone Filoviridae=https://viralzone.expasy.org/23?outline=all_by_species | ViralZone Ebolavirus Resource=https://viralzone.expasy.org/11865 | WHO Ebola Disease=https://www.who.int/news-room/fact-sheets/detail/ebola-disease | CDC Ebola Basics=https://www.cdc.gov/ebola/about/index.html
周日	19	marburg_virus	马尔堡病毒	Marburg virus	马尔堡病毒类群及疾病	聚焦 Marburg virus、Ravn virus 和 Marburg virus disease；排除 ebolaviruses。	"Marburg virus"; "Marburg virus disease"; "Marburg disease"	"Ravn virus"; ("MARV" AND "Marburg"); ("RAVV" AND "Ravn")	"Marburg virus disease"; "Marburg hemorrhagic fever"	Egyptian rousette; Rousettus aegyptiacus; cave exposure; mine exposure; body fluids; contact tracing; safe burial; genomic surveillance	MARV; RAVV; MVD; GP; NP; VP24; VP30; VP35; VP40; L polymerase; Orthomarburgvirus; Filoviridae	Ebola virus; Sudan virus; Bundibugyo virus; ebolavirus	(("Marburg virus"[Title/Abstract] OR "Ravn virus"[Title/Abstract] OR "Marburg virus disease"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("Ebola virus"[Title/Abstract])	("Marburg virus" OR "Ravn virus" OR "Marburg virus disease") AND (outbreak OR case OR transmission OR contact tracing)	ViralZone Filoviridae=https://viralzone.expasy.org/23?outline=all_by_species | ViralZone Orthomarburgvirus=https://viralzone.expasy.org/224 | WHO Marburg Virus Disease=https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease | CDC About Marburg=https://www.cdc.gov/marburg/about/index.html
周日	20	rabies_virus	狂犬病病毒	Rabies virus	具体病毒及疾病	聚焦 Rabies virus/rabies；其他 lyssaviruses 仅在比较、暴露或鉴别诊断时纳入。	"rabies virus"; rabies; "rabies infection"	"Lyssavirus rabies"（正式分类补充）	"rabies"; "rabies encephalitis"; "human rabies"	animal bite; saliva exposure; dog-mediated rabies; bat rabies; post-exposure prophylaxis; pre-exposure prophylaxis; rabies immunoglobulin; mass dog vaccination; One Health	RABV; Lyssavirus; N protein; P protein; M protein; G protein; L protein; PEP; PrEP; RIG; hydrophobia; aerophobia	Australian bat lyssavirus; European bat lyssavirus; Lagos bat virus; Mokola virus（严格 Rabies virus 模式；暴露监测时勿排除）	(("rabies virus"[Title/Abstract] OR rabies[Title/Abstract] OR "human rabies"[Title/Abstract]) AND {{DATE_FILTER}})	("rabies virus" OR rabies OR "human rabies") AND (case OR exposure OR bite OR vaccination OR post-exposure prophylaxis)	ViralZone Lyssavirus=https://viralzone.expasy.org/22?outline=all_by_species | ViralZone Rabies Virus=https://viralzone.expasy.org/222 | WHO Rabies=https://www.who.int/news-room/fact-sheets/detail/rabies | CDC About Rabies=https://www.cdc.gov/rabies/about/index.html
周日	21	hepatitis_b_virus	乙型肝炎病毒	Hepatitis B virus	具体病毒及疾病	聚焦 HBV/hepatitis B 及其慢性感染、肝硬化、肝癌、疫苗与治疗；其他肝炎病毒不默认纳入。	"hepatitis B virus"; "hepatitis B"; "HBV infection"; "chronic hepatitis B"; "acute hepatitis B"	"HBV genotype A"; "HBV genotype B"; "HBV genotype C"; "HBV genotype D"; "HBV genotype E"; "HBV genotype F"; "HBV genotype G"; "HBV genotype H"; "HBV genotype I"; "HBV genotype J"	"chronic hepatitis B"; "acute hepatitis B"; "HBV-associated hepatocellular carcinoma"; "HBV-related cirrhosis"	HBsAg; HBeAg; HBcAg; HBV DNA; cccDNA; pgRNA; HBx; mother-to-child transmission; vaccination; tenofovir; entecavir	HBV; HBsAg; HBeAg; HBcAg; anti-HBc; anti-HBs; cccDNA; rcDNA; pgRNA; HBx; HCC; genotype A; genotype B	hepatitis C virus; hepatitis A virus; hepatitis E virus（严格 HBV 模式；HDV 合并感染不宜默认排除）	(("hepatitis B virus"[Title/Abstract] OR "hepatitis B"[Title/Abstract] OR "HBV infection"[Title/Abstract] OR "chronic hepatitis B"[Title/Abstract]) AND {{DATE_FILTER}}) NOT ("hepatitis C virus"[Title/Abstract])	("hepatitis B virus" OR "hepatitis B" OR "HBV infection") AND (vaccine OR treatment OR prevalence OR screening OR elimination)	ViralZone Hepadnaviridae=https://viralzone.expasy.org/9 | ViralZone Orthohepadnavirus=https://viralzone.expasy.org/101?outline=all_by_species | WHO Hepatitis B=https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC Hepatitis B Basics=https://www.cdc.gov/hepatitis-b/about/index.html
